genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Acinetobacter,baumannii,GCF_001874915.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCF_001874945.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,SRR2976831,Resistant,meropenem,>,16,mg/L,Broth dilution,NA,CLSI,NA,NA,trachael aspirate,USA,2015
Acinetobacter,baumannii,SRR3057118,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,ulcer,USA,2015
Acinetobacter,baumannii,SRR3130307,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-11-28
Acinetobacter,baumannii,SRR3130308,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-01-14
Acinetobacter,baumannii,SRR3130310,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2008-03-09
Acinetobacter,baumannii,SRR3131127,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2007-06-01
Acinetobacter,baumannii,SRR3131132,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2008-03-09
Acinetobacter,baumannii,SRR3131145,Susceptible,meropenem,==,4,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-06-11
Acinetobacter,baumannii,SRR3131146,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-06-21
Acinetobacter,baumannii,SRR3131147,Susceptible,meropenem,==,4,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,sterile fluid,USA,2003-10-19
Acinetobacter,baumannii,SRR3131157,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-11
Acinetobacter,baumannii,SRR3131158,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2010-07-28
Acinetobacter,baumannii,SRR3131159,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2010-09-28
Acinetobacter,baumannii,SRR3131162,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2011-05-26
Acinetobacter,baumannii,SRR3131163,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-04
Acinetobacter,baumannii,SRR3131164,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2006-03-28
Acinetobacter,baumannii,SRR3131165,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-07
Acinetobacter,baumannii,SRR3131166,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2007-09-14
Acinetobacter,baumannii,SRR3131167,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-07-28
Acinetobacter,baumannii,SRR3131168,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2007-12-16
Acinetobacter,baumannii,SRR3131169,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2008-01-25
Acinetobacter,baumannii,SRR3131170,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2008-04-01
Acinetobacter,baumannii,SRR3131171,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2008-05-04
Acinetobacter,baumannii,SRR3131172,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2008-06-25
Acinetobacter,baumannii,SRR3131173,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,warwound,USA,2008-08-03
Acinetobacter,baumannii,SRR3131206,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-10-07
Acinetobacter,baumannii,SRR3131217,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2009-03-17
Acinetobacter,baumannii,SRR3131219,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2009-07-16
Acinetobacter,baumannii,SRR3131220,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-01-04
Acinetobacter,baumannii,SRR3131221,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2006-12-31
Acinetobacter,baumannii,SRR3131222,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-02-25
Acinetobacter,baumannii,SRR3131223,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-02-26
Acinetobacter,baumannii,SRR3131224,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-03-09
Acinetobacter,baumannii,SRR3131225,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-03-12
Acinetobacter,baumannii,SRR3131226,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-04-10
Acinetobacter,baumannii,SRR3131227,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-06-08
Acinetobacter,baumannii,SRR3131228,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-06-10
Acinetobacter,baumannii,SRR3131229,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-08-08
Acinetobacter,baumannii,SRR3131230,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-08-31
Acinetobacter,baumannii,SRR3131238,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2006-08-04
Acinetobacter,baumannii,SRR3131240,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2011-04-17
Acinetobacter,baumannii,SRR3137568,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-03-24
Acinetobacter,baumannii,SRR3137569,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-04-08
Acinetobacter,baumannii,SRR3137570,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-04-12
Acinetobacter,baumannii,SRR3137571,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-05-05
Acinetobacter,baumannii,SRR3137572,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-05-04
Acinetobacter,baumannii,SRR3137574,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-08-17
Acinetobacter,baumannii,SRR3137575,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-08-29
Acinetobacter,baumannii,SRR3137579,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-01-25
Acinetobacter,baumannii,SRR3137580,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-02-05
Acinetobacter,baumannii,SRR3137581,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-03-09
Acinetobacter,baumannii,SRR3137585,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-03-04
Acinetobacter,baumannii,SRR3137586,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-03-22
Acinetobacter,baumannii,SRR3137587,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-03-26
Acinetobacter,baumannii,SRR3137588,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-04-24
Acinetobacter,baumannii,SRR3137589,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,cerebrospinal fluid,USA,2008-04-21
Acinetobacter,baumannii,SRR3137590,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-05-28
Acinetobacter,baumannii,SRR3146378,Susceptible,meropenem,==,4,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-06-11
Acinetobacter,baumannii,SRR3152160,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2003-11-29
Acinetobacter,baumannii,SRR3152161,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2003-10-04
Acinetobacter,baumannii,SRR3152162,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2003-10-11
Acinetobacter,baumannii,SRR3152492,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2007-10-20
Acinetobacter,baumannii,SRR3152495,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2010-07-02
Acinetobacter,baumannii,SRR3152496,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2010-08-16
Acinetobacter,baumannii,SRR3152497,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2010-08-20
Acinetobacter,baumannii,SRR3152498,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-23
Acinetobacter,baumannii,SRR3152499,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-27
Acinetobacter,baumannii,SRR3152500,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2010-08-27
Acinetobacter,baumannii,SRR3152502,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2010-09-14
Acinetobacter,baumannii,SRR3152503,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-11-05
Acinetobacter,baumannii,SRR3152504,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2009-06-16
Acinetobacter,baumannii,SRR3152508,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2011-05-02
Acinetobacter,baumannii,SRR3152510,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,sterile body site,USA,2006-11-29
Acinetobacter,baumannii,SRR3168642,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2015
Acinetobacter,baumannii,SRR3168648,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2015
Acinetobacter,baumannii,SRR3170229,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-01-20
Acinetobacter,baumannii,SRR3170230,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-02-11
Acinetobacter,baumannii,SRR3170231,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-03-03
Acinetobacter,baumannii,SRR3170232,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-05-19
Acinetobacter,baumannii,SRR3170233,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2007-06-02
Acinetobacter,baumannii,SRR3170234,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-06-09
Acinetobacter,baumannii,SRR3170235,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-07-20
Acinetobacter,baumannii,SRR3170236,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-08-19
Acinetobacter,baumannii,SRR3170237,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-10-14
Acinetobacter,baumannii,SRR3170238,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-11-07
Acinetobacter,baumannii,SRR3170239,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-11-27
Acinetobacter,baumannii,SRR3170242,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2009-02-21
Acinetobacter,baumannii,SRR3170243,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2009-01-14
Acinetobacter,baumannii,SRR3170244,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2009-01-15
Acinetobacter,baumannii,SRR3170246,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2009-06-05
Acinetobacter,baumannii,SRR3170252,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2008-02-12
Acinetobacter,baumannii,SRR3170253,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-05-05
Acinetobacter,baumannii,SRR3170254,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-05-05
Acinetobacter,baumannii,SRR3170255,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-07-31
Acinetobacter,baumannii,SRR3170256,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-08-25
Acinetobacter,baumannii,SRR3170257,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2008-08-27
Acinetobacter,baumannii,SRR3170260,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,NA,USA,2003-04-25
Acinetobacter,baumannii,SRR3170261,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,NA,USA,2003-11-16
Acinetobacter,baumannii,SRR3170262,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-11-17
Acinetobacter,baumannii,SRR3170263,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2003-06-16
Acinetobacter,baumannii,SRR3170264,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2003-06-16
Acinetobacter,baumannii,SRR3170266,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2003-09-27
Acinetobacter,baumannii,SRR3170267,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,sterile fluid,USA,2003-10-24
Acinetobacter,baumannii,SRR3170268,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2008-09-22
Acinetobacter,baumannii,SRR3170530,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2007-12-26
Acinetobacter,baumannii,SRR3170733,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-05-13
Acinetobacter,baumannii,SRR3170734,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,sputum,USA,2006-10-22
Acinetobacter,baumannii,SRR3170735,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2009-01-01
Acinetobacter,baumannii,SRR3170737,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2011-03-17
Acinetobacter,baumannii,SRR3170739,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-12-25
Acinetobacter,baumannii,SRR3170740,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-05-09
Acinetobacter,baumannii,SRR3197609,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2006-11-22
Acinetobacter,baumannii,SRR3197610,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,surveillance,USA,2006-12-23
Acinetobacter,baumannii,SRR3217267,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-05-27
Acinetobacter,baumannii,SRR3217321,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2007-03-18
Acinetobacter,baumannii,SRR3217322,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2004-02-19
Acinetobacter,baumannii,SRR3217323,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,other,USA,2003-07-31
Acinetobacter,baumannii,SRR3217387,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-03-03
Acinetobacter,baumannii,SRR3217389,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2007-07-30
Acinetobacter,baumannii,SRR3217390,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,blood,USA,2003-09-23
Acinetobacter,baumannii,SRR3218381,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2007-10-28
Acinetobacter,baumannii,SRR3218382,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-09-04
Acinetobacter,baumannii,SRR3218383,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2003-10-03
Acinetobacter,baumannii,SRR3218402,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2006-12-07
Acinetobacter,baumannii,SRR3222484,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-02-28
Acinetobacter,baumannii,SRR3222485,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-05-20
Acinetobacter,baumannii,SRR3222486,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-07-17
Acinetobacter,baumannii,SRR3222487,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-10-21
Acinetobacter,baumannii,SRR3222499,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2007-12-30
Acinetobacter,baumannii,SRR3223161,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2007-10-24
Acinetobacter,baumannii,SRR3223162,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-05-30
Acinetobacter,baumannii,SRR3223163,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-09-06
Acinetobacter,baumannii,SRR3223164,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-10-22
Acinetobacter,baumannii,SRR3223465,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2007-10-29
Acinetobacter,baumannii,SRR3223466,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2003-05-29
Acinetobacter,baumannii,SRR3223467,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-09-06
Acinetobacter,baumannii,SRR3223485,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2006-12-27
Acinetobacter,baumannii,SRR3223550,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,respiratory,USA,2007-10-30
Acinetobacter,baumannii,SRR3223568,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2006-12-30
Acinetobacter,baumannii,SRR3223911,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-11-11
Acinetobacter,baumannii,SRR3223912,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-11-04
Acinetobacter,baumannii,SRR3223913,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2003-09-29
Acinetobacter,baumannii,SRR3223926,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2006-07-17
Acinetobacter,baumannii,SRR3224227,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-11-27
Acinetobacter,baumannii,SRR3224228,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2003-11-07
Acinetobacter,baumannii,SRR3224793,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,wound,USA,2007-01-12
Acinetobacter,baumannii,SRR3224794,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,urine,USA,2007-12-08
Acinetobacter,baumannii,SRR3224795,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,tissue,USA,2003-06-19
