ARO	Gene Name	Antibiotic	AMR Gene Family	Drug Class	Resistance Mechanism
3000174	tet(G)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000175	tet(H)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000177	tet(J)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000178	tet(K)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000179	tet(L)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000180	tetA(P)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000181	tet(V)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000182	tet(Y)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000183	tet(Z)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000186	tet(M)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000190	tet(O)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000191	tet(Q)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000192	tet(S)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000193	tet(T)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000194	tet(W)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000195	tetB(P)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000196	tet(32)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000197	tet(36)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000198	FosX	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3000205	tet(X)	tigecycline, tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline inactivation enzyme	glycylcycline, tetracycline antibiotic	antibiotic inactivation
3000206	emrK	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000215	mecR1	methicillin	methicillin resistant PBP2	penam	antibiotic target replacement
3000216	acrB	tigecycline, acriflavine, tetracycline, rifampin, chloramphenicol, ampicillin, cefalotin, triclosan	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic, cephalosporin, glycylcycline, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3000217	blaR1		BlaZ beta-lactamase	penam	antibiotic inactivation
3000230	ANT(2'')-Ia	dibekacin, sisomicin, kanamycin A, tobramycin, gentamicin	ANT(2'')	aminoglycoside antibiotic	antibiotic inactivation
3000236	glycopeptide resistance gene cluster VanA	vancomycin, teicoplanin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000237	TolC	erythromycin, cloxacillin, gentamicin C, tigecycline, ciprofloxacin, spectinomycin, streptomycin, tetracycline, tobramycin, oxacillin, ceftazidime, ertapenem, piperacillin, novobiocin, azithromycin, rifampin, imipenem, chloramphenicol, polymyxin B, polymyxin B1, polymyxin B2, polymyxin B3, polymyxin B4, ampicillin, nalidixic acid, norfloxacin, cefalotin, triclosan, ticarcillin, gentamicin	ATP-binding cassette (ABC) antibiotic efflux pump, major facilitator superfamily (MFS) antibiotic efflux pump, resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, aminoglycoside antibiotic, carbapenem, cephalosporin, glycylcycline, cephamycin, penam, tetracycline antibiotic, peptide antibiotic, aminocoumarin antibiotic, rifamycin antibiotic, phenicol antibiotic, penem, disinfecting agents and antiseptics	antibiotic efflux
3000238	glycopeptide resistance gene cluster VanB	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000245	RbpA	rifampin, rifaximin, rifabutin, rifapentine	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection
3000246	glycopeptide resistance gene cluster VanC	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000250	ErmC	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000251	msrA	erythromycin, quinupristin	msr-type ABC-F protein	macrolide antibiotic, streptogramin antibiotic, streptogramin B antibiotic	antibiotic target protection
3000253	glycopeptide resistance gene cluster VanD	vancomycin, teicoplanin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000254	emrY	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000255	glycopeptide resistance gene cluster VanF	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000256	glycopeptide resistance gene cluster VanM	vancomycin, teicoplanin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000257	glycopeptide resistance gene cluster VanG	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000259	glycopeptide resistance gene cluster VanE	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000260	glycopeptide resistance gene cluster VanL	vancomycin	glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
3000263	marA	tigecycline, tetracycline, rifampin, chloramphenicol, ampicillin, cefalotin, triclosan	resistance-nodulation-cell division (RND) antibiotic efflux pump, General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, glycylcycline, cephamycin, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, penem, disinfecting agents and antiseptics	antibiotic efflux, reduced permeability to antibiotic
3000300	lsaA	clindamycin, quinupristin, dalfopristin, pleuromutilin	lsa-type ABC-F protein	lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic, pleuromutilin antibiotic	antibiotic target protection
3000316	mphA	erythromycin, roxithromycin, telithromycin, clarithromycin, azithromycin, dirithromycin, oleandomycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3000318	mphB	erythromycin, roxithromycin, telithromycin, clarithromycin, tylosin, spiramycin, azithromycin, dirithromycin, oleandomycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3000319	mphC	erythromycin, roxithromycin, telithromycin, clarithromycin, tylosin, spiramycin, azithromycin, dirithromycin, oleandomycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3000326	ErmE	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000343	tap	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000344	EmrAB-TolC	nalidixic acid	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000347	ErmA	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000361	EreA	erythromycin, roxithromycin, clarithromycin	macrolide esterase	macrolide antibiotic	antibiotic inactivation
3000363	EreB	erythromycin, roxithromycin, clarithromycin, azithromycin	macrolide esterase	macrolide antibiotic	antibiotic inactivation
3000368	vanC	vancomycin	glycopeptide resistance gene cluster, Van ligase	glycopeptide antibiotic	antibiotic target alteration
3000373	EmrKY-TolC	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000375	ErmB	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000377	MexA	erythromycin, ciprofloxacin, tetracycline, ceftazidime, ceftriaxone, meropenem, novobiocin, azithromycin, trimethoprim, sulfamethoxazole, chloramphenicol, aztreonam, colistin A, colistin B, ampicillin, nalidixic acid, panipenem, ticarcillin, trimethoprim-sulfamethoxazole	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, cephamycin, penam, tetracycline antibiotic, peptide antibiotic, aminocoumarin antibiotic, diaminopyrimidine antibiotic, sulfonamide antibiotic, phenicol antibiotic, penem	antibiotic efflux
3000378	MexB	erythromycin, ciprofloxacin, tetracycline, ceftazidime, ceftriaxone, meropenem, novobiocin, azithromycin, trimethoprim, sulfamethoxazole, chloramphenicol, aztreonam, colistin A, colistin B, ampicillin, nalidixic acid, panipenem, ticarcillin, trimethoprim-sulfamethoxazole	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, cephamycin, penam, tetracycline antibiotic, peptide antibiotic, aminocoumarin antibiotic, diaminopyrimidine antibiotic, sulfonamide antibiotic, phenicol antibiotic, penem	antibiotic efflux
3000379	OprM	erythromycin, amikacin, gentamicin C, ciprofloxacin, acriflavine, tetracycline, tobramycin, ceftazidime, ceftriaxone, meropenem, novobiocin, azithromycin, trimethoprim, sulfamethoxazole, chloramphenicol, thiamphenicol, aztreonam, colistin A, colistin B, ampicillin, nalidixic acid, norfloxacin, ofloxacin, panipenem, ticarcillin, trimethoprim-sulfamethoxazole, gentamicin	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, monobactam, aminoglycoside antibiotic, carbapenem, cephalosporin, cephamycin, penam, tetracycline antibiotic, peptide antibiotic, aminocoumarin antibiotic, diaminopyrimidine antibiotic, sulfonamide antibiotic, phenicol antibiotic, penem, disinfecting agents and antiseptics	antibiotic efflux
3000380	FosC	fosfomycin	fosC phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation
3000384	AcrAB-TolC	tigecycline, tetracycline, rifampin, chloramphenicol, ampicillin, cefalotin, triclosan	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic, cephalosporin, glycylcycline, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3000391	norA	ciprofloxacin, acriflavine, norfloxacin	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3000392	Erm(37)	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000410	sul1	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
3000412	sul2	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
3000413	sul3	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
3000421	norB	ciprofloxacin, moxifloxacin, norfloxacin, sparfloxacin	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000423	FomA	fosfomycin	Fom phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation
3000444	rphA	rifampin, rifaximin, rifabutin, rifapentine	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
3000448	QepA1	ciprofloxacin, norfloxacin	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000449	FomB	fosfomycin	Fom phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation
3000462	mgtA	erythromycin, tylosin, azithromycin, methymycin	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation
3000463	gimA	tylosin, oleandomycin, chalcomycin, methymycin	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation
3000464	Neisseria gonorrhoeae porin PIB (por)	tetracycline, penicillin	General Bacterial Porin with reduced permeability to beta-lactams	monobactam, carbapenem, cephalosporin, cephamycin, penam, tetracycline antibiotic, penem	reduced permeability to antibiotic
3000467	NDM-5	cefoxitin, ceftazidime, ertapenem	NDM beta-lactamase	carbapenem, cephalosporin, cephamycin, penam	antibiotic inactivation
3000476	tet(31)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000478	tet(33)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000481	tet(35)	tetracycline	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000491	acrD	neomycin, amikacin, kanamycin A, tobramycin, gentamicin	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
3000495	ErmD	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000498	ErmF	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000499	AcrE	ciprofloxacin	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic, cephalosporin, cephamycin, penam	antibiotic efflux
3000501	rpoB2	rifampin, rifaximin, rifabutin, rifapentine	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration, antibiotic target replacement
3000502	AcrF	ciprofloxacin	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic, cephalosporin, cephamycin, penam	antibiotic efflux
3000504	golS	chloramphenicol	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam, carbapenem, cephalosporin, cephamycin, penam, phenicol antibiotic, penem	antibiotic efflux
3000506	MexR	erythromycin, ciprofloxacin, tetracycline, ceftazidime, ceftriaxone, meropenem, novobiocin, azithromycin, trimethoprim, sulfamethoxazole, chloramphenicol, aztreonam, colistin A, colistin B, ampicillin, panipenem, trimethoprim-sulfamethoxazole	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, cephamycin, penam, tetracycline antibiotic, peptide antibiotic, aminocoumarin antibiotic, diaminopyrimidine antibiotic, sulfonamide antibiotic, phenicol antibiotic, penem	antibiotic target alteration, antibiotic efflux
3000508	gadX	erythromycin, cloxacillin, oxacillin, norfloxacin	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, penam	antibiotic efflux
3000510	Staphylococcus aureus mupB conferring resistance to mupirocin	mupirocin	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
3000516	emrR	nalidixic acid	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3000518	CRP	erythromycin, cloxacillin, oxacillin, norfloxacin	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, penam	antibiotic efflux
3000521	Staphylococcus aureus mupA conferring resistance to mupirocin	mupirocin	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
3000522	ErmG	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000526	cmeR	erythromycin, cefotaxime, fusidic acid	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, cephalosporin, fusidane antibiotic	antibiotic efflux
3000533	macA	erythromycin	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
3000535	macB	erythromycin	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
3000549	adeS	tigecycline, tetracycline	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline, tetracycline antibiotic	antibiotic efflux
3000553	adeR	tigecycline, tetracycline	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline, tetracycline antibiotic	antibiotic efflux
3000556	tet(44)	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
3000559	adeN	tetracycline, rifampin, imipenem, trimethoprim, chloramphenicol, ticarcillin	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, lincosamide antibiotic, carbapenem, cephalosporin, tetracycline antibiotic, rifamycin antibiotic, diaminopyrimidine antibiotic, phenicol antibiotic, penem	antibiotic efflux
3000561	tet(30)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000565	tet(38)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000566	tet(39)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000567	tet(40)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000569	tet(41)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000572	tet(42)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000573	tet(43)	tetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
3000578	CcrA		CfiA beta-lactamase	carbapenem	antibiotic inactivation
3000579	Chryseobacterium meningosepticum BlaB		BlaB beta-lactamase	carbapenem, penam	antibiotic inactivation
3000582	L1 beta-lactamase		L1 family beta-lactamase	cephalosporin	antibiotic inactivation
3000589	NDM-1	ertapenem, meropenem, imipenem	NDM beta-lactamase	carbapenem, cephalosporin, cephamycin, penam	antibiotic inactivation
3000590	NDM-2		NDM beta-lactamase	carbapenem, cephalosporin, cephamycin, penam	antibiotic inactivation
3000592	ErmN	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000593	ErmQ	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000594	ErmR	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000595	ErmT	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000596	ErmX	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, virginiamycin M1, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, pristinamycin IC, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic	antibiotic target alteration
3000598	Erm(31)	narbomycin, methymycin, pikromycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
